id,out,in,all,bins,unique,,
1792,72,72,144,,,,
3037,2,2,4,,,,
7016,1,0,1,,,,
16224,1,0,1,,,,
723,39,90,129,,,,
14390,3,2,5,,,,
7995,65,1,66,,,,
11569,19,16,35,,,,
12767,12,4,16,,,,
5751,6,0,6,,,,
15335,3,9,12,,,,
11772,8,71,79,,,,
6508,35,13,48,,,,
11913,2,2,4,,,,
6875,34,14,48,,,,
8796,1,5,6,,,,
10331,1,7,8,,,,
4901,3,8,11,,,,
7072,8,2,10,,,,
2674,174,236,410,,,,
15230,10,5,15,,,,
6521,48,14,62,,,,
9924,31,11,42,,,,
16833,4,8,12,,,,
9533,6,7,13,,,,
2029,7,0,7,,,,
1356,32,27,59,,,,
5662,113,5,118,,,,
1476,3,22,25,,,,
2998,28,20,48,,,,
10116,9,27,36,,,,
3895,61,7,68,,,,
14202,26,106,132,,,,
4367,83,18,101,,,,
11937,3,5,8,,,,
2010,18,28,46,,,,
804,110,25,135,,,,
4381,2,19,21,,,,
5297,39,9,48,,,,
6498,31,28,59,,,,
1009,57,7,64,,,,
1885,38,31,69,,,,
5216,4,10,14,,,,
12006,24,32,56,,,,
5609,4,17,21,,,,
2111,35,10,45,,,,
648,65,143,208,,,,
12984,14,0,14,,,,
1128,17,9,26,,,,
4070,28,1,29,,,,
1884,4,77,81,,,,
1203,12,1,13,,,,
1587,245,9,254,,,,
13286,2,1,3,,,,
12662,4,3,7,,,,
13157,11,7,18,,,,
7262,8,12,20,,,,
276,2,5,7,,,,
2372,9,86,95,,,,
232,2,11,13,,,,
4965,5,3,8,,,,
2481,28,15,43,,,,
6977,3,0,3,,,,
12700,11,1,12,,,,
511,2,0,2,,,,
5322,11,13,24,,,,
8979,8,43,51,,,,
14734,31,0,31,,,,
3433,63,7,70,,,,
11000,21,1,22,,,,
12594,1,3,4,,,,
1559,12,28,40,,,,
16974,2,1,3,,,,
10282,2,7,9,,,,
12494,13,5,18,,,,
16793,3,0,3,,,,
2126,3,29,32,,,,
16896,2,0,2,,,,
12744,2,1,3,,,,
5732,7,2,9,,,,
4010,31,40,71,,,,
696,53,42,95,,,,
16090,17,10,27,,,,
10442,8,5,13,,,,
11877,14,4,18,,,,
9191,3,0,3,,,,
106,10,392,402,,,,
4104,37,19,56,,,,
13483,2,3,5,,,,
1724,55,49,104,,,,
12835,6,5,11,,,,
6505,48,17,65,,,,
1033,7,47,54,,,,
16578,5,5,10,,,,
3559,25,8,33,,,,
10263,11,6,17,,,,
14364,2,8,10,,,,
4502,14,30,44,,,,
7540,10,19,29,,,,
9133,31,12,43,,,,
4355,25,6,31,,,,
16371,2,5,7,,,,
325,1,6,7,,,,
4189,8,23,31,,,,
14949,7,22,29,,,,
15476,15,6,21,,,,
6481,56,44,100,,,,
8275,2,3,5,,,,
11321,78,87,165,,,,
10200,15,20,35,,,,
13531,21,19,40,,,,
15614,8,0,8,,,,
16613,5,20,25,,,,
8807,2,19,21,,,,
12530,19,4,23,,,,
8629,6,33,39,,,,
9199,5,1,6,,,,
14769,1,2,3,,,,
4255,12,21,33,,,,
2769,6,3,9,,,,
13572,15,13,28,,,,
4641,1,12,13,,,,
5243,2,12,14,,,,
8750,1,3,4,,,,
187,21,20,41,,,,
539,6,19,25,,,,
16532,3,1,4,,,,
6110,13,3,16,,,,
3986,23,6,29,,,,
11348,6,0,6,,,,
16123,3,13,16,,,,
5941,4,0,4,,,,
514,35,26,61,,,,
9968,3,13,16,,,,
1491,1,1,2,,,,
